dataset,candidate_id,mode,gamma,entropy_power,num_samples,correct,accuracy,macro_accuracy,nll,brier,ece,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,prediction_sha256,mean_effective_correction_abs,max_effective_correction_abs,prediction_gate_mean,mean_clean_mass
eurosat,10,entropy_gated_prior,0.3,1.0,8100,4954,61.16049382716049,61.6,1.992770911913819,0.6143031137680697,0.23858061734823793,140,283,-143,8.049382716049383,16f263c4db12b33160a73216045cd4df336f329b47db3da51fe03e69cd51cec0,0.5124080126521875,5.2816873260677895,0.452882288311391,0.7119421362876892
oxford_pets,0,direct_prior,0.01,1.0,3669,3372,91.9051512673753,91.86871199983676,0.23244627048591884,0.11486897014795173,0.022779091627778008,0,0,0,0.0,08da54d78a333215155ce4193ac89e19a33c0138f829cd1fb0aae415fd8ac6e2,0.003040711708005247,0.018333332841191808,1.0,0.9654970169067383
oxford_pets,1,direct_prior,0.025,1.0,3669,3372,91.9051512673753,91.86871199983676,0.23246641075235394,0.11487450833200798,0.02278384363247839,0,0,0,0.0,08da54d78a333215155ce4193ac89e19a33c0138f829cd1fb0aae415fd8ac6e2,0.007601779270013119,0.04583333210297952,1.0,0.9654970169067383
oxford_pets,2,direct_prior,0.05,1.0,3669,3371,91.87789588443718,91.84168497280974,0.2325000534909773,0.11488376124158378,0.022519098502046187,0,1,-1,0.027255382938130283,1b5dfe6c1a97ba905c1c15c6719450158341c346a17f4215d030bc877ff25430,0.015203558540026238,0.09166666420595904,1.0,0.9654970169067383
oxford_pets,3,direct_prior,0.1,1.0,3669,3371,91.87789588443718,91.84168497280974,0.23256762203019585,0.11490235163301121,0.02253460461397533,0,1,-1,0.027255382938130283,1b5dfe6c1a97ba905c1c15c6719450158341c346a17f4215d030bc877ff25430,0.030407117080052476,0.18333332841191807,1.0,0.9654970169067383
oxford_pets,4,direct_prior,0.2,1.0,3669,3372,91.9051512673753,91.86871199983676,0.2327038871778042,0.11493986924458574,0.022400816343599573,1,1,0,0.05451076587626057,ccd15f63968379da62b8d13389df0ea54c0467013ae97452339426279faec543,0.06081423416010495,0.36666665682383615,1.0,0.9654970169067383
oxford_pets,5,direct_prior,0.3,1.0,3669,3373,91.93240665031344,91.8957390268638,0.23284164857119233,0.11497783319009146,0.022377919421789908,2,1,1,0.08176614881439084,340ca101be98156b941c4ac19736cc53a43c89b6e4dcbcf669d48e3f15e048f3,0.09122135124015741,0.5499999852357542,1.0,0.9654970169067383
oxford_pets,6,entropy_gated_prior,0.025,1.0,3669,3372,91.9051512673753,91.86871199983676,0.2324356937338229,0.11486592300078236,0.022777073658028044,0,0,0,0.0,08da54d78a333215155ce4193ac89e19a33c0138f829cd1fb0aae415fd8ac6e2,0.0001780322163167415,0.010635503351801696,0.03349810687439676,0.9654970169067383
oxford_pets,7,entropy_gated_prior,0.05,1.0,3669,3372,91.9051512673753,91.86871199983676,0.23243852977912363,0.11486656459236376,0.02277822800612683,0,0,0,0.0,08da54d78a333215155ce4193ac89e19a33c0138f829cd1fb0aae415fd8ac6e2,0.000356064432633483,0.021271006703603393,0.03349810687439676,0.9654970169067383
oxford_pets,8,entropy_gated_prior,0.1,1.0,3669,3371,91.87789588443718,91.84168497280974,0.23244421650005664,0.11486785458757477,0.02250786936939127,0,1,-1,0.027255382938130283,1b5dfe6c1a97ba905c1c15c6719450158341c346a17f4215d030bc877ff25430,0.000712128865266966,0.042542013407206786,0.03349810687439676,0.9654970169067383
oxford_pets,9,entropy_gated_prior,0.2,1.0,3669,3371,91.87789588443718,91.84168497280974,0.23245564838968014,0.11487046176173557,0.022512236582693135,0,1,-1,0.027255382938130283,1b5dfe6c1a97ba905c1c15c6719450158341c346a17f4215d030bc877ff25430,0.001424257730533932,0.08508402681441357,0.03349810687439676,0.9654970169067383
oxford_pets,10,entropy_gated_prior,0.3,1.0,3669,3371,91.87789588443718,91.84168497280974,0.23246715806979593,0.11487310505711247,0.022516586321638107,0,1,-1,0.027255382938130283,1b5dfe6c1a97ba905c1c15c6719450158341c346a17f4215d030bc877ff25430,0.0021363865958008974,0.12762604022162033,0.03349810687439676,0.9654970169067383
ucf101,0,direct_prior,0.01,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3974945294839352,0.40259594538761806,0.13752398851244857,0,0,0,0.0,3fed08a2e86ed055e4e2a30d0da57991da0b58beed719fdf7e192a04a6640fd2,0.00427398833441845,0.026133331636604945,1.0,0.9488303065299988
ucf101,1,direct_prior,0.025,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3977878445626348,0.4026183079865212,0.1375451958290992,0,0,0,0.0,3fed08a2e86ed055e4e2a30d0da57991da0b58beed719fdf7e192a04a6640fd2,0.010684970836046123,0.06533332909151236,1.0,0.9488303065299988
ucf101,2,direct_prior,0.05,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3982770640236581,0.4026555607772736,0.13758041501425933,0,0,0,0.0,3fed08a2e86ed055e4e2a30d0da57991da0b58beed719fdf7e192a04a6640fd2,0.021369941672092246,0.13066665818302473,1.0,0.9488303065299988
ucf101,3,direct_prior,0.1,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3992568453714809,0.40272999784149166,0.13765123996278783,0,0,0,0.026434047052603753,cb0a27906ff29d3cfa736be057e17485f62a237f20b072f98dfe74fe59f9312a,0.04273988334418449,0.26133331636604945,1.0,0.9488303065299988
ucf101,4,direct_prior,0.2,1.0,3783,2738,72.37642083002908,72.0325590092561,1.4012216918266684,0.4028785963235646,0.13807428348266354,0,0,0,0.05286809410520751,9caed50857dee4e2df757217a6636d194759882f7048d99f65ea0efb66e0a2de,0.08547976668836899,0.5226666327320989,1.0,0.9488303065299988
ucf101,5,direct_prior,0.3,1.0,3783,2738,72.37642083002908,72.0325590092561,1.4031934250076543,0.4030268250043112,0.13835513879953892,0,0,0,0.07930214115781126,ed527d8e70415fb7ddede236b029f8c74b6be7c0daad10a31187329096535a50,0.12821965003255345,0.7839999490981483,1.0,0.9488303065299988
ucf101,6,entropy_gated_prior,0.025,1.0,3783,2738,72.37642083002908,72.0325590092561,1.397357832923388,0.402586725572066,0.1375151917437462,0,0,0,0.0,3fed08a2e86ed055e4e2a30d0da57991da0b58beed719fdf7e192a04a6640fd2,0.0003482686494810399,0.020499300179810644,0.053182851859214376,0.9488303065299988
ucf101,7,entropy_gated_prior,0.05,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3974166172871971,0.40259241788265465,0.1375205583308162,0,0,0,0.0,3fed08a2e86ed055e4e2a30d0da57991da0b58beed719fdf7e192a04a6640fd2,0.0006965372989620798,0.04099860035962129,0.053182851859214376,0.9488303065299988
ucf101,8,entropy_gated_prior,0.1,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3975342704102995,0.4026038000470719,0.13753127182186456,0,0,0,0.0,3fed08a2e86ed055e4e2a30d0da57991da0b58beed719fdf7e192a04a6640fd2,0.0013930745979241596,0.08199720071924257,0.053182851859214376,0.9488303065299988
ucf101,9,entropy_gated_prior,0.2,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3977699125712566,0.4026265544764762,0.13769390633753714,0,0,0,0.026434047052603753,cb0a27906ff29d3cfa736be057e17485f62a237f20b072f98dfe74fe59f9312a,0.0027861491958483193,0.16399440143848515,0.053182851859214376,0.9488303065299988
ucf101,10,entropy_gated_prior,0.3,1.0,3783,2738,72.37642083002908,72.0325590092561,1.3980059994765224,0.4026492955745168,0.13757482186102388,0,0,0,0.026434047052603753,cb0a27906ff29d3cfa736be057e17485f62a237f20b072f98dfe74fe59f9312a,0.004179223793772477,0.2459916021577277,0.053182851859214376,0.9488303065299988
caltech101,0,direct_prior,0.01,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16195516906908125,0.08614959157122809,0.021273235823017534,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.003460870772939076,0.01959595960556794,1.0,0.965071439743042
caltech101,1,direct_prior,0.025,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16194979093656373,0.08614659486086511,0.021277921562083576,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.008652176932347688,0.048989899013919855,1.0,0.965071439743042
caltech101,2,direct_prior,0.05,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16194092485202857,0.08614162725393719,0.021285706413119,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.017304353864695376,0.09797979802783971,1.0,0.965071439743042
caltech101,3,direct_prior,0.1,1.0,2465,2322,94.19878296146045,91.93290638250912,0.1619235552511202,0.08613179233137605,0.02130118417801099,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.03460870772939075,0.19595959605567942,1.0,0.965071439743042
caltech101,4,direct_prior,0.2,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16189024396943374,0.08611251891316853,0.021331777586408952,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.0692174154587815,0.39191919211135884,1.0,0.965071439743042
caltech101,5,direct_prior,0.3,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16185879542919887,0.08609376530727761,0.021038838013828998,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.10382612318817222,0.5878787881670382,1.0,0.965071439743042
caltech101,6,entropy_gated_prior,0.025,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16195544877219184,0.0861499464042923,0.021271023140825785,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.00017266274422249518,0.011830857469919695,0.03905657976348166,0.965071439743042
caltech101,7,entropy_gated_prior,0.05,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16195212791076086,0.08614830072297532,0.021271939372638306,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.00034532548844499035,0.02366171493983939,0.03905657976348166,0.965071439743042
caltech101,8,entropy_gated_prior,0.1,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16194551414203445,0.08614502148795708,0.021273768482537467,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.0006906509768899807,0.04732342987967878,0.03905657976348166,0.965071439743042
caltech101,9,entropy_gated_prior,0.2,1.0,2465,2322,94.19878296146045,91.93290638250912,0.16193239806799745,0.08613851150930442,0.021277413295878105,0,0,0,0.0,1ae68cac7916c904a961b25482d5d0e43fd5863b59031a1a30831eb1bb98b514,0.0013813019537799614,0.09464685975935756,0.03905657976348166,0.965071439743042
