dataset,candidate_id,base_accuracy,accuracy,delta_pp,base_last50_accuracy,last50_accuracy,delta_last50_pp,delta_correct,delta_last50_correct,mean_gate,median_gate,gate_p10,gate_p25,gate_p75,gate_p90,mean_effective_update_mass,prediction_sha256,state_sha256,health_status
sun397,U1_t0.6_p0.25,68.92191435768262,68.94206549118388,0.0201511335012583,70.0352644836272,70.05541561712846,0.0201511335012583,4,2,0.998252809047699,1.0,0.997789877653122,0.9989483952522278,1.0,1.0,0.9982519149780273,af062ff2ce6f3fd1cca4443cd44e489eafb8f51fd98b2d8f78667dc2fbff2f27,d1945cdeed2cbdcb72ea25f2be971e3361c7a52ad50c820f6be6c5f211c49642,healthy
sun397,U1_t0.6_p0.5,68.92191435768262,68.90680100755668,-0.015113350125943725,70.0352644836272,69.98488664987406,-0.05037783375314575,-3,-5,0.9967468976974487,1.0,0.9955985963344574,0.9978978633880615,1.0,1.0,0.9967458844184875,8845e6309a1a856cb82cae3bfa01782a2dc4b4409be32db2489a533eb262a883,b5b1d281b62ed076e3f9617584f5f7e2db8ad4518c6442b2a7d703845eb7c09c,healthy
sun397,U1_t0.6_p1,68.92191435768262,68.89168765743074,-0.03022670025188745,70.0352644836272,69.95465994962217,-0.0806045340050332,-6,-8,0.9940580725669861,1.0,0.991187846660614,0.9958001375198364,1.0,1.0,0.9940571784973145,e8a6d784ece470749bb4491f3f5a1cd066278da5b991d618a6c8fe9828563f76,703b0697a0d7d10a5ecbffc946687310a7a7704c148a1469dd67b01c54706f1c,healthy
sun397,U1_t0.6_p2,68.92191435768262,68.92695214105794,0.005037783375314575,70.0352644836272,70.00503778337531,-0.03022670025188745,1,-3,0.9887038469314575,1.0,0.9822910189628601,0.9916179180145264,1.0,1.0,0.9887029528617859,48e6aba9b2e2bf7d2d8aca7ba897e29bedec86536b9e5d26b7c862f19e269b84,4b90d4905177e7daf44291c302c26c06c533f5c660d53a4402b3acec21bf20e9,healthy
ucf101,U1_t0.075_p0.25,74.04176579434312,74.20037007665874,0.15860428231562196,76.74418604651163,76.74418604651163,0.0,6,0,0.9693994522094727,1.0,0.9053582668304443,0.9672161340713501,1.0,1.0,0.9693984389305115,6f586e3a2b83e8df7ab1d026476b04cb4e87595c9d0bfa97f6b91a78ba146b05,fdd8e0cc1205672d7dd3de621dd5a341180e0e33d14432fff0c69b24ad62f603,healthy
ucf101,U1_t0.075_p0.5,74.04176579434312,74.04176579434312,0.0,76.74418604651163,76.58562367864694,-0.1585623678646897,0,-3,0.9441969990730286,1.0,0.8188753366470337,0.9355069994926453,1.0,1.0,0.9441960453987122,98647c9d9ed5c90c738ef4f489fe01e26ae1e6c2aef203b943a3b8b4f5f881e4,43f3932c63749eb671ef39c76d3453d7d37e1eeb375d33b1997d60a6a4e23960,healthy
ucf101,U1_t0.075_p1,74.04176579434312,73.90959555908009,-0.1321702352630325,76.74418604651163,76.6384778012685,-0.10570824524313593,-5,-2,0.9064332842826843,1.0,0.6709644079208374,0.8751733899116516,1.0,1.0,0.9064322710037231,33c1b28724a09e30bfc19feaa9a460f5959ab65e00c54f235c1efefe179410c1,c9c766f223657fd45dbaa87d24697f69fa0db66a7650b7b6f0e9bf58bc022a66,healthy
ucf101,U1_t0.075_p2,74.04176579434312,72.90510177108115,-1.1366640232619716,76.74418604651163,75.3171247357294,-1.4270613107822356,-43,-27,0.8468021750450134,1.0,0.43521676063537623,0.7659284472465515,1.0,1.0,0.8468011617660522,050a08d0f3f20b29950d840c50413cccecbbb38fb4ea5cd29f8a7c02dc0382ea,248e0cc6523d5c7bd84bc2a3681bb092fc8b2eda01a03b2abd570307e79f5b59,healthy
ucf101,U1_t0.15_p0.25,74.04176579434312,74.12106793550093,0.07930214115781098,76.74418604651163,76.6384778012685,-0.10570824524313593,3,-2,0.9825789332389832,1.0,0.9513495445251465,0.9834714531898499,1.0,1.0,0.982577919960022,d224714b969775049e40688e732059ef7a5ece98ec933299dffa0b4311e33a3f,de6bef7484696957dcf227bad586c01cf53e5be8ddd2001753fd1eda01b68c41,healthy
ucf101,U1_t0.15_p0.5,74.04176579434312,74.06819984139572,0.02643404705260366,76.74418604651163,76.69133192389006,-0.05285412262156797,1,-1,0.9670171737670898,1.0,0.9049019455909729,0.9672160744667053,1.0,1.0,0.9670161008834839,8fec28fb188628cc76f3051f4c1519efe34c71d45cfa73737c096fffe006c27f,e63e1efc20141754b0e6c589a8f1b09e5b800940afb9bef773e3541c4060c74c,healthy
