dataset,arm,config_sha256,wrong_to_correct,correct_to_wrong,net_correction,changed_prediction_rate,ncr,accuracy,nll,brier,ece
office_home_product,posterior,0166d964f7dd6f270a762877bb75f9fdf99de181e80b99efc89c604054a210c3,0,0,0,0.09011038522189682,0.0,90.35818878125704,0.5161328637169952,0.15206966057208293,0.05595093672475347
domainnet_painting,posterior,a849f56a0a970fd61c0414d361bc392a5c5832d36cd9ff6e54a85838a0fecf45,0,1,-1,0.013729977116704806,-0.004576659038901602,69.23569794050344,2.2309794220063206,0.46150801102138495,0.15496482895307875
domainnet_painting,posterior,0eefcc38f06fe1a12575ef68cd598a6d61b75ccb163571ddfbe3061208fad59f,0,1,-1,0.009153318077803204,-0.004576659038901602,69.23569794050344,2.2305421803569776,0.46149182204523675,0.15494862872723583
domainnet_painting,posterior,aefffc43babaab8eb6fcbc2475d9a71792820253c3caa607f50d9331d7772ece,0,1,-1,0.027459954233409613,-0.004576659038901602,69.23569794050344,2.235203390121021,0.4616061962823846,0.1550886075227635
domainnet_painting,posterior,1277c7d2c13875da67801ba1bf33750a03111ce816d79d517ced73b3d3ebb8da,0,1,-1,0.018306636155606407,-0.004576659038901602,69.23569794050344,2.2343276238170455,0.46157404949790554,0.15505648277512404
domainnet_painting,posterior,2c043afd9daec8300e98688fa934ba86e579c3f4464ce7a217519cd399b61f9d,0,4,-4,0.050343249427917625,-0.018306636155606407,69.22196796338673,2.243664741243705,0.46179955424651403,0.15546912118980083
domainnet_painting,posterior,f6125e291cb3d163801196312b2c12d6678518454a49169fa36b75448eb41a5a,0,2,-2,0.036613272311212815,-0.009153318077803204,69.23112128146454,2.2419081478809386,0.4617361489122465,0.15531423912424108
domainnet_painting,posterior,974f4b9286d70cf4e60618cde4fef315c47404c14d5f75a93d9b0c11eb2b33d9,0,1,-1,0.027459954233409613,-0.004576659038901602,69.23569794050344,2.235203390121021,0.4616061962823846,0.1550886075227635
domainnet_painting,posterior,5fc1060e7e727ae166004f5c7faf03e5d8cce54ca4fa0b2cae981bccd689e18d,0,1,-1,0.018306636155606407,-0.004576659038901602,69.23569794050344,2.2343276238170455,0.46157404949790554,0.15505648277512404
domainnet_painting,posterior,f65a72582364988b015a3ad55c75860e43ef7f69d9e7acf795e41834e4f24cfc,0,4,-4,0.050343249427917625,-0.018306636155606407,69.22196796338673,2.243664741243705,0.46179955424651403,0.15546912118980083
domainnet_painting,posterior,5cfd27b18789321ca909eb75ff5aa9bdd0a06f89c1bc0052c31b72d72c122704,0,2,-2,0.036613272311212815,-0.009153318077803204,69.23112128146454,2.2419081478809386,0.4617361489122465,0.15531423912424108
domainnet_painting,posterior,e708eefcb84e77c85151dd0e25aede3398ba3910999182688e186c7a9ee00bc2,0,6,-6,0.11899313501144164,-0.02745995423340961,69.21281464530892,2.260638281752766,0.4621747110719266,0.15603083335835
domainnet_painting,posterior,d0a135beb7c6b09a54ce13c77d128e06b04edfd50077205b12dc37b8b2a10aae,0,5,-5,0.09610983981693363,-0.02288329519450801,69.21739130434783,2.257105873431737,0.46205137106046523,0.15586206025284133
domainnet_painting,posterior,0a8da61da7404f9b9a107ce06e6deb0f44c6bbd0b0b3d4b2e93a490b7838c189,0,4,-4,0.050343249427917625,-0.018306636155606407,69.22196796338673,2.243664741243705,0.46179955424651403,0.15546912118980083
domainnet_painting,posterior,32196dc273fa89a6423bd87b43a39983f790fb54c729dce024f250bbfeb0708d,0,2,-2,0.036613272311212815,-0.009153318077803204,69.23112128146454,2.2419081478809386,0.4617361489122465,0.15531423912424108
domainnet_painting,posterior,d256e698c88a385627e87c4f606cd7e991a33eec5a94320d0a8c2ca749d80723,0,6,-6,0.11899313501144164,-0.02745995423340961,69.21281464530892,2.260638281752766,0.4621747110719266,0.15603083335835
domainnet_painting,posterior,7736544593ca1ad232b175d4ea495335118a3e544d428142ed12941f6e595f4b,0,5,-5,0.09610983981693363,-0.02288329519450801,69.21739130434783,2.257105873431737,0.46205137106046523,0.15586206025284133
domainnet_painting,posterior,bcbc63809f17f9f0d62b91ec8e48d38572fa0f69884f136285ee22f1bed9fd47,0,12,-12,0.2471395881006865,-0.05491990846681922,69.18535469107552,2.2947686225464596,0.4628826083225844,0.1571872575199168
domainnet_painting,posterior,0166d964f7dd6f270a762877bb75f9fdf99de181e80b99efc89c604054a210c3,0,8,-8,0.17391304347826086,-0.036613272311212815,69.20366132723113,2.2876342116307034,0.46264887309183517,0.15677152279431952
domainnet_real,posterior,a849f56a0a970fd61c0414d361bc392a5c5832d36cd9ff6e54a85838a0fecf45,0,0,0,0.0,0.0,83.61099902000346,1.4490692388127455,0.2710460950890254,0.10931657511638633
domainnet_real,posterior,0eefcc38f06fe1a12575ef68cd598a6d61b75ccb163571ddfbe3061208fad59f,0,0,0,0.0,0.0,83.61099902000346,1.448871558532278,0.27103752978669354,0.10931153783039936
domainnet_real,posterior,aefffc43babaab8eb6fcbc2475d9a71792820253c3caa607f50d9331d7772ece,0,2,-2,0.005764685536403989,-0.003843123690935993,83.60715589631252,1.4512210810674662,0.27109546526203915,0.1093870158729258
domainnet_real,posterior,1277c7d2c13875da67801ba1bf33750a03111ce816d79d517ced73b3d3ebb8da,0,2,-2,0.005764685536403989,-0.003843123690935993,83.60715589631252,1.4508251894756587,0.27107844490896,0.10937702299634415
domainnet_real,posterior,2c043afd9daec8300e98688fa934ba86e579c3f4464ce7a217519cd399b61f9d,0,2,-2,0.009607809227339982,-0.003843123690935993,83.60715589631252,1.4555295485439559,0.271192552229441,0.1094492571875637
domainnet_real,posterior,f6125e291cb3d163801196312b2c12d6678518454a49169fa36b75448eb41a5a,0,2,-2,0.007686247381871986,-0.003843123690935993,83.60715589631252,1.4547357224242252,0.2711589718022589,0.10942981714085945
domainnet_real,posterior,974f4b9286d70cf4e60618cde4fef315c47404c14d5f75a93d9b0c11eb2b33d9,0,2,-2,0.005764685536403989,-0.003843123690935993,83.60715589631252,1.4512210810674662,0.27109546526203915,0.1093870158729258
